Metrics,Scan Division,Metric type,Raw point cloud/Voxelized point cloud,Description (simplified),Description (Detailed),,,,,,,,,,
h_filename,Entire point cloud,NA,NA,File name of the scan,"File name of the scan that includes location ID, plot number, scan date and laser type",,,,,,,,,,1
h_ground_cnt,Entire point cloud,General,Raw,Number of points classified as ground,The number of points in a raw point cloud that were classified as ground points using a cloth simulation filter,,,,,,,,,,1
h_not_ground_cnt,Entire point cloud,General,Raw,Number of points not classified as ground,The number of points in a raw point cloud that were not classified as ground points using a cloth simulation filter,,,,,,,,,,1
h_per_ground,Entire point cloud,General,Raw,Percent of ground points in the scan,The percentage of points in the scan that were classified as ground points using a cloth simulation filter,,,,,,,,,,1
h_ng_tgi,Entire point cloud,General,Raw,Triangular greenness index of points classified as not ground,Triangular greenness index of points classified as not ground utilizing RGB values from the point cloud,,,,,,,,,,1
h_ng_vari,Entire point cloud,General,Raw,Visual atmospheric resistance index of points not classified as ground,Visual atmospheric resistance index of points classified as not ground utilizing RGB values from the point cloud,,,,,,,,,,1
h_l1_cnt,0-0.5 m height strata,Height strata,Raw,Count of points in height strata,Count of points in height strata 0-0.5 m of the normalized point cloud,,,,,,,,,,1
h_l1_per,0-0.5 m height strata,Height strata,Raw,Percent of points in height strata,Percent of points in height strata 0-0.5 m of the normalized point cloud,,,,,,,,,,1
h_l1_mean,0-0.5 m height strata,Height strata,Raw,Mean height of points in height strata,Mean height of points in height strata 0-0.5 m of the normalized point cloud,,,,,,,,,,1
h_l1_median,0-0.5 m height strata,Height strata,Raw,Median height of points in height strata,Median height of points in height strata 0-0.5 m of the normalized point cloud,,,,,,,,,,1
h_l1_std,0-0.5 m height strata,Height strata,Raw,Standard deviation of points in height strata,Standard deviation of points in height strata 0-0.5 m of the normalized point cloud,,,,,,,,,,1
h_l1_tgi,0-0.5 m height strata,Height strata,Raw,Triangular greenness index of points in height strata,Triangular greenness index of points in height strata 0-0.5 m of the normalized point cloud,,,,,,,,,,1
h_l1_vari,0-0.5 m height strata,Height strata,Raw,Visual atmospheric resistance index of points in height strata,Visual atmospheric resistance index of points in height strata 0-0.5 m of the normalized point cloud,,,,,,,,,,1
h_l1_skew,0-0.5 m height strata,Height strata,Raw,Skewness of point heights in height strata,Skewness of point heights in height strata 0-0.5 m of the normalized point cloud,,,,,,,,,,1
