########################,,,,
The following metadata describes the plot metrics output by the IntELiMon system,,,,
"""Metric"" is the name of the outputted variable",,,,
"""Description describes what the output represents",,,,
"""Scan Division"", ""Metric type"" and ""Voxelized/Point Cloud"" describe at what point in the process the metric originates from",,,,
"Abbreviations: TGI- triangular greenness index, VARI- visible atmospherically resistant index, CWD- coarse woody debris",,,,
########################,,,,
Metric,Description (simplified),Scan Division,Metric type,Voxelized/Point Cloud
h_l1_cnt to h_l5_cnt,Point density in strata 1 to 5,By stratum,General,Point Cloud
h_l1_per to h_l5_per,% of points not classified as ground in strata 1 to 5,By stratum,General,Point Cloud
h_l1_tgi to h_l5_tgi,TGI in strata 1 to 5,By stratum,General,Point Cloud
h_l1_vari to h_l5_vari,VARI in strata 1 to 5,By stratum,General,Point Cloud
h_l1_mean to h_l5_mean,Mean height in strata 1 to 5,By stratum,Height statistic,Point Cloud
h_l1_median to h_l5_median,Median height in strata 1 to 5,By stratum,Height statistic,Point Cloud
h_l1_std to h_l5_std,Standard deviation of heights in strata 1 to 5,By stratum,Height statistic,Point Cloud
h_l1_skew to h_l5_skew,Skewness of heights in strata 1 to 5,By stratum,Height statistic,Point Cloud
h_l1_kurt to h_l5_kurt,Kurtosis of heights in strata 1 to 5,By stratum,Height statistic,Point Cloud
s_l1_na_per to s_l5_na_per,% of non-ground points occluded in strata 1 to 5,By stratum,Occlusion,Point Cloud
s_l1_zero_per to s_l5_zero_per,% of unreturned non-ground points (true empty space) in strata 1 to 5,By stratum,Occlusion,Point Cloud
s_l1_prop_mn,Mean proportion of occluded and no returns in strata 1 to 5,By stratum,Occlusion,Point Cloud
s_l1_prop_sd,SD of proportion of occluded and no returns in strata 1 to 5,By stratum,Occlusion,Point Cloud
s_l1_prop_sk,Skewness of proportion of occluded and no returns in strata 1 to 5,By stratum,Occlusion,Point Cloud
s_l1_prop_ku,Kurtosis of proportion of occluded and no returns in strata 1 to 5,By stratum,Occlusion,Point Cloud
hr0_10_l1_cnt or hr100_1000_l1_cnt,Standardized surface fuel PD classified as 1-10hr or 100-1000hr fuels,CWD,General,Voxelized
hr0_10_l1_tgi or hr100_1000_l1_tgi,Standardized surface fuel TDI classified as 1-10hr or 100-1000hr fuels,CWD,General,Voxelized
hr0_10_l1_vari or hr100_1000_l1_vari,Standardized surface fuel VARI classified as 1-10hr or 100-1000hr fuels,CWD,General,Voxelized
