Metrics,Description (Detailed)
h_ground_cnt,The number of points in a raw point cloud that were classified as ground points using a cloth simulation filter
h_not_ground_cnt,The number of points in a raw point cloud that were not classified as ground points using a cloth simulation filter
h_per_ground,The percentage of points in the scan that were classified as ground points using a cloth simulation filter
h_ng_tgi,Triangular greenness index of points classified as not ground utilizing RGB values from the point cloud
h_ng_vari,Visual atmospheric resistance index of points classified as not ground utilizing RGB values from the point cloud
h_l1_cnt,Count of points in height strata 0-0.5 m of the normalized point cloud
h_l1_per,Percent of points in height strata 0-0.5 m of the normalized point cloud
h_l1_mean,Mean height of points in height strata 0-0.5 m of the normalized point cloud
h_l1_median,Median height of points in height strata 0-0.5 m of the normalized point cloud
h_l1_std,Standard deviation of points in height strata 0-0.5 m of the normalized point cloud
h_l1_tgi,Triangular greenness index of points in height strata 0-0.5 m of the normalized point cloud
h_l1_vari,Visual atmospheric resistance index of points in height strata 0-0.5 m of the normalized point cloud
h_l1_skew,Skewness of point heights in height strata 0-0.5 m of the normalized point cloud
h_l1_kurt,Kurtosis of point heights in height strata 0-0.5 m of the normalized point cloud
h_l2_cnt,Count of points in height strata 0.5-1.0 m of the normalized point cloud
h_l2_per,Percent of points in height strata 0.5-1.0 m of the normalized point cloud
h_l2_mean,Mean height of points in height strata 0.5-1.0 m of the normalized point cloud
h_l2_median,Median height of points in height strata 0.5-1.0 m of the normalized point cloud
h_l2_std,Standard deviation of points in height strata 0.5-1.0 m of the normalized point cloud
h_l2_tgi,Triangular greenness index of points in height strata 0.5-1.0 m of the normalized point cloud
h_l2_vari,Visual atmospheric resistance index of points in height strata 0.5-1.0 m of the normalized point cloud
h_l2_skew,Skewness of point heights in height strata 0.5-1.0 m of the normalized point cloud
h_l2_kurt,Kurtosis of point heights in height strata 0.5-1.0 m of the normalized point cloud
h_l3_cnt,Count of points in height strata 1.0-1.5 m of the normalized point cloud
h_l3_per,Percent of points in height strata 1.0-1.5 m of the normalized point cloud
h_l3_mean,Mean height of points in height strata 1.0-1.5 m of the normalized point cloud
h_l3_median,Median height of points in height strata 1.0-1.5 m of the normalized point cloud
h_l3_std,Standard deviation of points in height strata 1.0-1.5 m of the normalized point cloud
h_l3_tgi,Triangular greenness index of points in height strata 1.0-1.5 m of the normalized point cloud
h_l3_vari,Visual atmospheric resistance index of points in height strata 1.0-1.5 m of the normalized point cloud
h_l3_skew,Skewness of point heights in height strata 1.0-1.5 m of the normalized point cloud
h_l3_kurt,Kurtosis of point heights in height strata 1.0-1.5 m of the normalized point cloud
h_l4_cnt,Count of points in height strata 1.5-2.0 m of the normalized point cloud
h_l4_per,Percent of points in height strata 1.5-2.0 m of the normalized point cloud
h_l4_mean,Mean height of points in height strata 1.5-2.0 m of the normalized point cloud
h_l4_median,Median height of points in height strata 1.5-2.0 m of the normalized point cloud
h_l4_std,Standard deviation of points in height strata 1.5-2.0 m of the normalized point cloud
h_l4_tgi,Triangular greenness index of points in height strata 1.5-2.0 m of the normalized point cloud
h_l4_vari,Visual atmospheric resistance index of points in height strata 1.5-2.0 m of the normalized point cloud
h_l4_skew,Skewness of point heights in height strata 1.5-2.0 m of the normalized point cloud
