"","h_ground_cnt","h_not_ground_cnt","h_per_ground","h_ng_tgi","h_ng_vari","h_l1_cnt","h_l1_per","h_l1_mean","h_l1_median","h_l1_std","h_l1_tgi","h_l1_vari","h_l1_skew","h_l1_kurt","h_l2_cnt","h_l2_per","h_l2_mean","h_l2_median","h_l2_std","h_l2_tgi","h_l2_vari","h_l2_skew","h_l2_kurt","h_l3_cnt","h_l3_per","h_l3_median","h_l3_std","h_l4_cnt","h_l4_per","h_l4_median","h_l4_std","h_l5_cnt","h_l5_per","h_l5_median","h_l5_std","h_GC_cnt","h_GC_per","h_GC_mean","h_GC_median","h_GC_std","h_GC_tgi","h_GC_vari","h_GC_skew","h_GC_kurt","h_US_cnt","h_US_per","h_US_median","h_US_std","h_MS_cnt","h_MS_per","h_MS_median","h_MS_std","h_OS_cnt","h_OS_per","h_OS_median","h_OS_std","h_zmax","h_zmean","h_zsd","h_zskew","h_zkurt","h_pzabovezmean","h_pzabove2","h_zq5","h_zq10","h_zq15","h_zq20","h_zq25","h_zq30","h_zq35","h_zq40","h_zq45","h_zq50","h_zq55","h_zq60","h_zq65","h_zq70","h_zq75","h_zq80","h_zq85","h_zq90","h_zq95","h_zpcum1","h_zpcum2","h_zpcum3","h_zpcum4","h_zpcum5","h_zpcum6","h_zpcum7","h_zpcum8","h_zpcum9","fDim","fInt","per_gap","s_lng_na_per","s_lng_zero_per","s_lng_prop_mn","s_lng_prop_sd","s_lng_prop_sk","s_lng_prop_ku","s_l1_na_per","s_l1_zero_per","s_l1_prop_mn","s_l1_prop_sd","s_l1_prop_sk","s_l1_prop_ku","s_l2_na_per","s_l2_zero_per","s_l2_prop_mn","s_l2_prop_sd","s_l2_prop_sk","s_l2_prop_ku","s_l3_na_per","s_l3_zero_per","s_l3_prop_mn","s_l3_prop_sd","s_l3_prop_sk","s_l3_prop_ku","s_l4_na_per","s_l4_zero_per","s_l4_prop_mn","s_l4_prop_sd","s_l4_prop_sk","s_l4_prop_ku","s_l5_na_per","s_l5_zero_per","s_l5_prop_mn","s_l5_prop_sd","s_l5_prop_sk","s_l5_prop_ku","vox_l1_cnt","vox_l1_mean","vox_l1_median","vox_l1_std","vox_l1_tgi","vox_l1_vari","vox_l1_skew","vox_l1_kurt","TBA","Basalarea","MeanTH","MDBH","TreesN","MaxTH","SDHT","nonocarea","StemsPacre","CBH","LAI","ULAI","MLAI","OLAI","FHD","GiSimp","LAHV","GCvol","USvol","MSvol","OSvol","canopyCover","fuel0_3l1_cnt","fuel0_3l1_mean","fuel0_3l1_median","fuel0_3l1_std","fuel0_3l1_tgi","fuel0_3l1_vari","fuel0_3l1_skew","fuel0_3l1_kurt","shrubs_l1_cnt","shrubs_l1_mean","shrubs_l1_median","shrubs_l1_std","shrubs_l1_tgi","shrubs_l1_vari","shrubs_l1_skew","shrubs_l1_kurt","ShrubsN","shrubArea","scaledShrubArea","MeanSH","MeanSA","MaxSH","SDSHT","MeanSD","MaxSD","MinSD","SDSD","fine_l1_cnt","fine_l1_mean","fine_l1_median","fine_l1_std","fine_l1_tgi","fine_l1_vari","fine_l1_skew","fine_l1_kurt","hr0_10_l1_cnt","hr0_10_l1_mean","hr0_10_l1_median","hr0_10_l1_std","hr0_10_l1_tgi","hr0_10_l1_vari","hr0_10_l1_skew","hr0_10_l1_kurt","hr100_1000_l1_cnt","hr100_1000_l1_mean","hr100_1000_l1_median","hr100_1000_l1_std","hr100_1000_l1_tgi","hr100_1000_l1_vari","hr100_1000_l1_skew","hr100_1000_l1_kurt","x","y","LF_EVC","LF_EVT","LF_FBFM13","LF_FBFM40","LF_CBD","LF_FDist","LF_ASP","LF_EVEL","LF_SLPD"
"1",1334442,1339204,49.91094558,-6.045802203,15064.628,6891,0.514559395,0.309569584,0.333,0.131892699,6.363724988,-0.194579301,-0.469548844,-0.84488057,10021,0.748280322,0.746516216,0.749,0.14741257,11.39082274,-0.23380434,0.004730911,-1.237242216,11128,0.830941365,1.269,0.144086756,24992,1.866183195,1.834,0.139084914,1286169,96.03981171,5.918,2.942284789,16912,1.262839717,0.568476999,0.568,0.257024264,9.342470647,-0.217821621,-0.164060793,-0.950271414,179595,13.41057822,2.412,0.454360005,897253,66.9989785,5.595,1.680982611,245441,18.32737955,10.657,1.580395805,16.926,6.172242612,3.050713999,0.596584981,2.846001298,45.40958659,96.03981171,2.137,2.586,3.031,3.414,3.787,4.127,4.457,4.813,5.256,5.757,6.213,6.799,7.181,7.523,8.084,8.681,9.683,10.508,11.824,2.53098865,19.60924432,43.42697133,59.72057945,78.13015233,87.71176822,95.078181,98.21684588,99.72050478,0.587064775,3.501503997,64.32060606,0.254366845,96.74590294,0.393590127,5.595562601,19.14121765,371.5125973,2.284082798,91.00642398,2.886598858,16.46094504,6.289834053,37.95273351,2.229299363,92.28591649,2.747533616,16.26514643,6.388595405,39.14817733,1.479394153,92.10989785,1.964515675,13.33644719,7.865840564,60.7100809,1.563055062,92.3268206,2.007388988,13.68284678,7.684502092,57.65367956,0.17528769,96.89178194,0.299387284,4.662344519,22.86998253,534.3012626,1418359,4.108704664,3.64,3.933105587,-7.298378414,10855.44901,0.609504376,-0.603419942,6.949568386,43.80677394,12.87616667,14.10644929,6,16.917,3.247401941,642,37.8211215,4.006,0.903684626,0.416311971,0.571440517,0.115395499,0.045027211,0.999991234,0.315878103,0.105169782,0.024280374,0.132654206,0.05070405,0.503599476,1453041,0.286170557,0.026,0.740925378,-1.370224923,1452.023052,2.692845244,5.521156625,93711,1.245202858,1.037,1.238858726,-4.676893547,12670.19277,0.114759181,-1.855756265,20,125.581,791.6028986,2.95725,6.27905,2.999,0.165598397,11.28297197,27.79726974,0,7.648493152,589177,0.06834085,0.017,0.310509407,0.251983149,122.0406099,7.442681565,55.34468719,12790,0.215461454,0.018,0.60953724,-3.338341493,-0.081993073,3.245379372,9.098911819,5071,0.067845987,0.022,0.312756347,11.51455821,-0.156041883,7.130629662,50.57083868,-11751671.81,4919063.185,126,7054,5,122,4,0,64,2433,9
"2",1246690,16210,98.71644627,-7.052571075,-0.065134009,10071,62.12831585,0.325323205,0.346,0.12251149,-3.503409211,-0.079420799,-0.418403274,-0.946948501,6139,37.87168415,0.589707444,0.568,0.076284744,-12.87495406,-0.041696598,1.501926225,2.453117541,0,0,0,0,0,0,0,0,0,0,0,0,16210,100,0.425449969,0.448,0.167259619,-7.052571075,-0.065134009,-0.189270808,-0.482481279,0,0,0,0,0,0,0,0,0,0,0,0,0.946,0.425449969,0.167259619,-0.189288323,2.517829363,54.65144972,0,0.128,0.181,0.227,0.263,0.301,0.34,0.371,0.399,0.424,0.448,0.472,0.493,0.511,0.529,0.546,0.564,0.586,0.62,0.671,2.07292245,10.84582639,22.90085755,36.21444876,55.16071318,80.79462027,94.36115738,98.17385403,99.63600469,0.560652114,3.219276152,76.86104545,0.006000034,99.03828022,0.043866508,0.976603396,87.34535814,9651.937735,0.321773329,86.98605649,0.970664998,6.48536439,15.35633621,254.105939,0.070947144,87.26498758,0.597357219,3.415558836,23.81217017,744.8771523,0.035236082,91.29668781,0.4289253,2.600890294,27.32062512,1109.778163,0.07183908,93.67816092,0.339385776,3.203209093,29.1485892,984.543346,0,99.49115782,0.017028232,0.306127738,21.11270598,479.2805006,584509,0.08991525,0.058,0.098888823,-4.813068903,-0.072045307,2.201752272,6.269597137,0,0,0,0,1,0,0,662,6.113081571,0,0,0,0,0,0,0,0,0.093531722,0,0,0,0.369499509,1246539,0.086685815,0.054,0.096250724,-3.732996859,-0.077616058,2.265588048,6.712564788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523204,0.071410299,0.038,0.091169259,-2.773421066,-0.081171978,2.628384495,9.065435853,15413,0.120851878,0.056,0.143516868,-5.206113957,-0.069442258,1.636040541,2.800638201,550,0.024396364,0.017,0.031393315,14.17546997,-0.151036534,8.307805012,111.5308632,-11751729.81,4918940.754,116,7054,2,102,5,0,122,2424,11
"3",1351028,2022984,40.04218124,-2.27451348,12549.04805,14299,0.706827142,0.311976432,0.324,0.128110953,3.705690052,-0.092768269,-0.369735745,-0.907551301,24149,1.193731636,0.728629301,0.71,0.147335295,2.260077774,-0.105679987,0.226254002,-1.230177523,23427,1.158041784,1.279,0.148860183,71184,3.518762383,1.822,0.138681315,1889924,93.42258762,3.345,1.909359553,38448,1.900558779,0.573674053,0.582,0.245540929,2.797708079,-0.100878056,-0.17677841,-0.827619299,782605,38.68567423,2.498,0.420062366,1138636,56.28497309,3.942,1.423144577,63294,3.128744469,10.324,1.085697143,14.17,3.816970714,1.963144535,1.726371421,6.650402553,34.767403,93.42258762,1.845,2.156,2.271,2.444,2.678,2.826,2.901,2.99,3.087,3.216,3.419,3.615,3.808,3.996,4.32,4.849,5.592,6.554,7.813,2.804770384,30.4690798,74.24890582,85.27802027,92.50522249,96.09210561,97.83819134,99.11635398,99.88828373,0.573303492,3.398781994,62.35528788,0.654765978,97.66790406,0.788738111,8.890764985,12.13860388,146.0760456,5.162659123,94.1301273,5.744130127,24.3413866,4.044038309,14.37670061,5.535714286,89.03571429,6.522078571,25.12635639,3.851022131,12.92784978,4.017063633,87.91325986,4.912879488,21.58495519,4.625401801,19.57089932,3.632478632,84.68660969,4.57147792,20.56415229,4.885762622,22.09748798,0.452998549,98.08946835,0.551276151,7.404130549,14.63595586,213.2976692,1201427,2.821398079,2.616,2.914112854,-5.182399072,5054.71719,0.944811218,0.419452471,4.892947751,30.93919937,10.73333333,15.97526342,3,14.16,2.990557362,640,18.96965625,3.12,0.473177218,0.291057123,0.26487123,0.019518862,0.015981442,0.999997042,0.285907595,0.1028,0.029157813,0.089434375,0.011207813,0.321747766,2053119,0.90701276,0.039,1.189298624,-2.504488187,6078.466595,0.707309737,-1.357111817,404260,1.496529748,2.138,1.243655002,0.14452311,7908.445795,-0.233078765,-1.769090336,15,115.219,728.5554218,2.979066667,7.681266667,2.999,0.073372306,7.007375613,17.01874064,0,5.049885523,526896,0.246869544,0.013,0.715697115,-3.704196309,3477.664001,2.960661494,7.037937623,20368,1.140734878,0.325,1.180478551,-3.023643464,14131.93483,0.252467968,-1.763293547,2278,0.896963126,0.021,1.248757365,0.208332306,62050.03921,0.792198822,-1.287105892,-11751399.3,4919308.783,124,9019,8,161,1,0,92,2406,5
"4",1329997,1758413,43.06413332,6.009923051,100836.3457,15289,0.869477193,0.322124403,0.333,0.119780419,12.25130747,167.9268277,-0.375684861,-0.838339067,36350,2.067204917,0.749299615,0.75,0.14343428,12.03493031,-0.173810954,0.008878936,-1.226176587,27571,1.567947917,1.225,0.148789987,41084,2.336424947,1.805,0.146153234,1638118,93.15888816,5.861,3.46558423,51639,2.936682111,0.622823854,0.642,0.238247001,12.09899411,49.59653053,-0.379762686,-0.766960817,318110,18.09074432,2.371,0.472199952,876823,49.86445164,5.224,1.596447333,511840,29.10806506,10.995,1.318793922,17.088,6.378248124,3.634281264,0.408903073,2.015192134,41.63049295,93.15888816,1.641,2.266,2.558,2.907,3.313,3.607,4.114,4.659,5.137,5.602,5.997,6.697,7.552,8.756,9.951,10.534,10.968,11.437,12.381,5.274477924,26.55602132,44.86789493,60.79164655,69.11148759,77.45891035,93.00049875,98.19393759,99.65565502,0.577800575,3.455626684,65.23689394,0.353797684,97.53065395,0.475657101,6.568251985,16.41543529,270.5403747,4.018492176,95.30583215,4.477147937,21.6071432,4.672280849,19.86090752,3.545103545,91.85679186,4.284843805,20.35159143,4.960697335,22.81173293,1.991465149,91.18065434,2.656233997,15.42486487,6.710373189,43.71051881,2.337938363,89.1958909,3.031888062,16.65145977,6.194015227,36.81605719,0.21740218,97.786864,0.313944803,5.163119631,20.86435676,439.843683,1410046,4.36996461,3.379,4.351860114,-1.737843861,79266.37635,0.635153405,-0.83233596,9.724299033,60.72978819,13.1744,17.0347503,5,16.575,3.709263714,648,31.2257716,4.02,0.580240028,0.264511289,0.334245339,0.083721607,0.019246894,0.999997231,0.307992572,0.097861111,0.021703704,0.08045216,0.049941358,0.390124264,1587918,0.456871563,0.025,0.903777979,-1.836155354,3422.975031,1.777989567,1.391612994,268560,0.882088256,0.023,1.148691129,18.74813572,7244.002174,0.695180859,-1.368727076,18,117.154,731.645292,2.923666667,6.508555556,2.999,0.188799614,7.745784216,25.37968149,0,5.924988967,459358,0.098344901,0.015,0.402990885,-12.75329657,660.11714,5.511569011,29.74229969,11542,0.249763646,0.019,0.615238417,-7.664045652,-0.080987075,2.966317282,7.733993311,997,0.425684052,0.02,0.95085992,-9.102463029,-0.074556046,1.993184461,2.057091831,-11751624.94,4919578.641,129,7054,5,122,4,0,133,2420,4
"5",1251960,2206879,36.19596055,3.855528585,6715.872104,9033,0.409311068,0.355034208,0.38,0.114308024,7.577337854,-0.184359747,-0.689528961,-0.483739506,24737,1.120904227,0.736458261,0.728,0.145344471,14.43215424,-0.234515689,0.127349794,-1.209072129,21975,0.995750107,1.253,0.145815357,42720,1.935765395,1.821,0.140360555,2108414,95.5382692,4.797,1.929954897,33770,1.530215295,0.634432692,0.638,0.217888989,12.59858728,-0.22109968,-0.313045408,-0.58742682,355966,16.12983766,2.467,0.458904843,1749457,79.27290078,5.068,1.552231032,67686,3.067046268,9.947,0.681367222,12.262,4.932159997,2.048222213,0.418684719,2.803241123,45.14796688,95.5382692,2.071,2.496,2.839,3.142,3.397,3.602,3.88,4.2,4.439,4.677,4.941,5.231,5.597,5.947,6.448,6.81,7.13,7.76,8.538,1.976321301,9.385883588,31.53037911,54.36870547,71.82064437,86.8151751,95.212241,98.26909326,99.84629871,0.583894004,3.478934655,62.21751515,0.591356135,97.17616961,0.740172877,8.460106196,12.7425147,161.5129096,9.643235606,89.93288591,10.64655599,32.46869731,2.731267528,5.465034906,9.567358424,86.91523039,10.84364404,32.30269016,2.73425275,5.505192814,7.74672798,86.16908383,8.958418819,29.34634475,3.137210548,7.894408623,4.114934374,85.2075204,5.085998581,21.82646376,4.559207263,18.96922917,0.241283684,97.59765376,0.345466056,5.43560195,19.8263509,396.6404736,1520952,3.913274338,3.971,2.844025563,3.458564424,5675.751042,0.136601181,-0.833859642,11.07510511,72.99581344,9.267230769,11.81100404,13,12.262,1.247816637,614,85.68270358,3.586,1.083179835,0.62348514,0.679540763,0.013325022,0.056144344,0.999981842,0.324065276,0.076262215,0.034977199,0.185030945,0.013239414,0.629531094,1457873,0.526462257,0.012,1.007041613,10.71681818,139.0975555,1.546564671,0.523877603,250696,0.894154454,0.014,1.220988667,11.40035145,543.1626761,0.717155183,-1.397505272,30,190.635,1256.471767,2.978333333,6.3545,2.999,0.101497183,9.716109573,25.28572439,0,6.090702253,456108,0.1567122,0.007,0.56492383,10.92832111,-0.173287196,3.784130018,12.65542767,12240,0.560769526,0.018,0.978915059,4.503128775,-0.12835057,1.420991345,0.20813166,911,0.255913282,0.021,0.728831587,7.027894741,-0.152299413,2.910808479,6.619101169,-11752133.67,4919336.397,126,7054,5,122,4,0,18,2468,3
"6",1306845,1277555,50.56666925,-4.829254943,18241.74777,9284,0.726700612,0.347629793,0.365,0.107655328,15.97828133,-0.225787076,-0.713397721,-0.051370948,15161,1.186719946,0.737961942,0.731,0.145408188,17.13975329,-0.249063422,0.11744207,-1.199157831,15537,1.216151164,1.259,0.143572716,26545,2.077797042,1.81,0.14397551,1211027,94.79255296,4.52,2.267131964,24445,1.913420557,0.589717161,0.585,0.231093266,16.69863626,-0.240223266,-0.068612437,-0.89953866,156768,12.27093941,2.385,0.509822879,1004893,78.65751377,4.558,1.603063588,91448,7.15804799,10.191,1.255722489,15.091,5.051898047,2.386030582,0.928314658,3.807156871,37.87367276,94.79255296,1.968,2.592,3.073,3.299,3.466,3.673,3.844,4.081,4.262,4.426,4.623,4.902,5.347,5.779,6.274,7.071,7.703,8.499,9.793,3.160416828,14.40699525,52.79420893,73.26169638,84.10069876,93.0589181,97.25498668,98.89601449,99.7935115,0.569095902,3.412216184,67.35680303,0.410954247,97.4752025,0.535261489,7.068215166,15.2729512,233.4115605,4.32297249,95.14112183,4.799814219,22.37454248,4.483985356,18.12873135,3.16951567,91.95156695,3.881200142,19.29004653,5.270160436,26.03056092,3.854239664,88.57743518,4.710711282,21.1691261,4.732740137,20.588784,2.101888137,87.45992162,2.82683648,15.81122992,6.542842026,41.37183119,0.247484602,97.75363696,0.344336588,5.499730602,19.63122765,388.1375126,1111506,3.074247299,2.629,3.327627497,-2.374658857,11091.50441,0.83256579,-0.149606382,10.95864731,70.28231488,11.968,15.54420563,8,15.085,2.248992917,631,51.30725832,3.831,0.651039472,0.34369659,0.421892118,0.030412182,0.029905038,0.999994776,0.287087651,0.093080824,0.016873217,0.09144374,0.019012678,0.362186015,1382658,0.23487853,0.022,0.672789922,1.772758524,79.81718255,3.135068437,8.181427732,87745,0.894357194,0.028,1.201022087,1.623994017,234.2074591,0.714205248,-1.374708864,17,98.404,631.1053473,2.966058824,5.788470588,2.999,0.087927861,9.958026932,26.62092358,0,7.709825078,573428,0.074601307,0.015,0.338320302,2.741762355,-0.113171794,6.902876117,47.27130284,13424,0.275161576,0.017,0.710434009,1.045708412,-0.105098255,2.731815098,5.811424799,3663,0.051703522,0.022,0.21446416,8.536106519,-0.150229756,11.67555117,140.2733347,-11752030.15,4919182.112,239,7086,5,122,0,0,251,2464,8
"7",1357236,1086508,55.53920542,11.14922686,28479.10974,8991,0.827513465,0.317716828,0.336,0.123714254,7.647496061,-0.162038146,-0.489498488,-0.693525614,12629,1.162347631,0.726106184,0.713,0.14298097,10.73769284,-0.189549353,0.212344688,-1.152383003,11564,1.064327184,1.289,0.143830219,32089,2.953406694,1.818,0.13654727,1021234,93.99231299,5.626,2.949127482,21620,1.989861096,0.556271369,0.559,0.242533782,9.452588345,-0.178108406,-0.089563325,-0.872255607,208055,19.14896163,2.381,0.444806608,685780,63.11780493,5.592,1.726385252,171052,15.74328031,10.873,1.513687331,15.464,5.777233612,3.078772128,0.619296919,2.722738991,45.65617556,93.99231299,1.884,2.287,2.608,2.925,3.247,3.658,4.047,4.343,4.673,5.234,5.854,6.291,6.748,7.29,7.879,8.363,9.15,10.095,11.686,3.181206546,22.41920431,44.52106109,58.71785338,73.49623472,85.73832082,91.9354334,96.09868698,99.29001773,0.574984272,3.445688039,67.65169697,0.225188585,97.82132185,0.320076675,5.252444901,20.52348394,425.1913362,2.173138582,94.90559316,2.563683648,16.05728798,6.506247805,40.55250354,1.972525537,93.94152871,2.422888341,15.32597443,6.819839631,44.88528596,2.196245129,93.16330145,2.684729012,16.14746846,6.444076133,39.84719409,2.363315697,92.98059965,2.829897707,16.72503328,6.214171691,36.84372702,0.131088597,97.94846345,0.211088035,4.0257549,26.62685573,722.1909966,1193034,3.572203292,2.743,3.789172338,5.96263828,20755.40113,0.793614187,-0.408812431,10.28882282,68.48265295,11.993,18.54855683,5,14.805,2.273457939,608,33.28009868,3.809,0.701593635,0.387997798,0.398074217,0.053043972,0.026721899,0.999993577,0.292104154,0.087904605,0.025587171,0.104236842,0.033386513,0.404177719,1533328,0.349814773,0.036,0.784471202,6.711779396,517.7766165,2.354457574,3.848774123,86599,1.447453331,2.064,1.221491292,16.15790226,6588.132319,-0.208595486,-1.798040966,22,124.182,826.5583882,2.964818182,5.644636364,2.999,0.086609488,10.21933832,24.87586863,0,7.174372283,601275,0.115527537,0.022,0.405096609,6.488507213,-0.136392564,5.401712474,28.68510498,17892,0.255221272,0.04,0.607724787,0.309446758,-0.10164729,3.187917564,8.970331493,6398,0.14889106,0.033,0.451847984,11.65495949,-0.184208804,5.015113372,24.22089712,-11751914.26,4919077.065,126,7054,5,122,6,0,158,2469,13
"8",1340533,1721880,43.77374965,-4.197551369,109470.0006,8186,0.475410598,0.341839238,0.362,0.112480638,9.867054566,-0.177454314,-0.530718151,-0.692679052,19831,1.151706275,0.751453431,0.751,0.14337505,9.062673848,-0.170408111,0.002513833,-1.195991268,24340,1.413571213,1.295,0.145549732,63915,3.711931145,1.803,0.13930629,1605608,93.24738077,6.018,2.942245918,28017,1.627116872,0.63177246,0.649,0.230102284,9.297697603,-0.172466869,-0.337687627,-0.777547224,276111,16.03543801,2.266,0.489629201,1150916,66.84066253,5.821,1.597294813,266836,15.49678259,10.659,1.994940828,16.802,5.996406065,3.101325462,0.752698838,3.444090968,46.88160615,93.24738077,1.816,2.298,2.759,3.182,3.603,4.067,4.531,4.927,5.37,5.739,6.137,6.415,6.756,7.167,7.643,8.315,9.097,9.905,12.161,4.021595013,22.22722967,41.52179102,64.58206413,80.55914498,90.60886392,94.0650882,96.79965898,99.28885828,0.581216802,3.49450354,60.19582576,0.438308784,96.81640442,0.590821328,7.305578113,14.73212265,217.494675,4.718309859,94.50704225,5.256866197,23.32513515,4.26179805,16.18877963,4.975124378,88.77043355,5.98006752,23.89433271,4.090760659,14.87211564,4.019921736,86.0903593,5.094386339,21.59213745,4.599264402,19.40184672,3.645285664,86.08482299,4.607599019,20.60702367,4.867293459,21.94294052,0.242843644,97.16621552,0.359799106,5.458100307,19.70326374,392.4296382,1453733,4.338584588,4.105,3.965308388,-3.296349397,83269.88287,0.603736298,-0.382492632,10.51260805,65.05058268,12.960375,14.48698173,8,16.343,2.245742826,654,49.50287462,4.293,0.781888824,0.313850457,0.519433451,0.092852675,0.041110865,0.999993857,0.320001822,0.074281346,0.021535168,0.126892966,0.043940367,0.512745098,1491582,0.369351046,0.014,0.833805293,6.02573619,1121.559184,2.111258666,2.737388859,173764,0.929741011,0.02,1.182301818,8.21079861,4111.565669,0.601139718,-1.496458347,17,109.792,679.3778994,2.995352941,6.458352941,2.999,0.007785734,10.53488321,28.12599356,0,7.134961123,546953,0.087660236,0.009,0.383414667,5.780122977,112.6472765,5.57003958,30.61404222,13912,0.40118121,0.014,0.844773326,2.203960101,-0.101458124,1.986624538,2.290421984,1128,0.206886525,0.016,0.578492021,14.60129298,-0.182013566,2.804389992,6.093061376,-11752923.26,4919176.414,126,7054,5,122,4,0,215,2492,4
"9",1101221,9382,99.15523369,-10.22539895,-0.043443131,5086,54.21018973,0.331931577,0.365,0.133333668,-11.58886806,-0.032912222,-0.561594509,-0.92442235,4057,43.24237902,0.61414666,0.571,0.113942254,-9.492100468,-0.051865107,1.477168288,1.563621682,239,2.547431251,1.056,0.049357934,0,0,0,0,0,0,0,0,9143,97.45256875,0.457158154,0.483,0.187909051,-10.65847474,-0.041322137,-0.022378716,0.107448708,239,2.547431251,1.056,0.049357934,0,0,0,0,0,0,0,0,1.234,0.472636112,0.208896397,0.401109005,3.731816475,54.32743551,0,0.117,0.177,0.246,0.303,0.348,0.386,0.419,0.446,0.47,0.4875,0.503,0.519,0.532,0.548,0.566,0.595,0.64,0.712,0.862,5.617737981,15.03038056,27.84351348,51.89212238,82.60313399,91.37618591,95.03251253,97.19646093,99.66954482,0.558580992,3.227368615,79.79593182,0.001701968,99.05668406,0.037340887,0.649406731,88.20199035,14054.10814,0.141894289,99.04221355,0.223997872,4.209953667,25.22292608,653.1105007,0,94.85734414,0.351873899,1.667584521,4.776856415,21.40435112,0,90.75511644,0.479791814,1.821379579,3.883498454,13.76776496,0,87.65697883,0.515941873,1.694162564,3.503147026,11.38178169,0,99.34392123,0.019836802,0.318523432,19.2095103,401.9075504,553274,0.078921289,0.046,0.09313222,6.311961385,-0.12762225,2.698880935,12.33656623,0,0,0,0,1,0,0,661,6.122329803,1.013,0,0,0,0,0,0,0,0.090437216,4.68986384266263e-05,0,0,0.011449133,1088879,0.071935983,0.039,0.08906692,7.580341073,-0.132907501,2.759280765,12.4202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490317,0.055060836,0.025,0.077786308,8.108628803,-0.135097627,3.05615984,14.03366288,12317,0.111501096,0.042,0.137939073,2.822251007,-0.110716188,1.525195196,1.816257791,1418,0.044748942,0.021,0.054398349,-0.429761965,-0.08592415,1.930252695,3.05490341,-11752618.58,4919136.09,228,7086,5,122,0,0,99,2469,6
"10",1271420,2758473,31.54972105,0.462106731,11690.67613,34096,1.236046175,0.285932514,0.294,0.132703941,11.94476211,-0.18232282,-0.166008099,-1.09289661,49585,1.797552486,0.738708037,0.732,0.143930232,13.57565051,-0.187379115,0.113069224,-1.183085905,46538,1.687092823,1.258,0.145164151,63519,2.30268703,1.779,0.143521907,2564734,92.97658523,7.459,2.994983534,83681,3.033598661,0.554223695,0.572,0.262576515,12.91114159,-0.185318917,-0.170565628,-1.017729135,300435,10.89135185,2.256,0.557130691,1616101,58.58679784,6.461,1.603798536,758255,27.4882154,10.88,1.465326774,17.225,7.029526235,3.316549055,0.063086848,2.413317788,50.72639826,92.97658523,1.574,2.498,3.128,3.949,4.731,5.25,5.694,6.183,6.627,7.121,7.555,7.812,8.14,8.656,9.36,10.271,10.786,11.373,12.5,5.620323723,17.06941998,29.03525178,48.08185404,69.68697514,80.4818684,93.2818217,98.11591276,99.8285282,0.587623098,3.58889554,54.8182197,0.870814445,95.10919937,1.104276512,10.24748659,10.45205241,108.0476525,9.148486981,90.32371569,10.10626671,31.71070708,2.830618152,6.018362336,9.026798307,86.9887165,10.29375529,31.46500267,2.841734044,6.111452296,6.113074205,90.38869258,7.009720848,26.33163486,3.640693415,11.31104677,3.670045439,88.60538273,4.543376442,20.67992434,4.857824764,21.82043071,0.576838217,95.28612176,0.77706786,8.365940638,12.84232621,164.5962829,1827884,5.919183454,6.211,4.256719094,-0.688901313,10097.87556,0.038950468,-1.06090145,16.91818557,108.1604638,14.74909091,16.37025998,11,16.583,1.352087531,633,70.32458136,5.374,1.526507801,0.44615373,0.966452103,0.361980974,0.094135069,0.999979884,0.364025531,0.070780411,0.020406003,0.167047393,0.119993681,0.697560976,1364650,0.32772448,0.012,0.797373746,3.973490412,-18.94025613,2.380506494,3.977854677,181654,0.692122392,0.018,1.093719569,5.412188147,-834.8217832,1.126734218,-0.57043575,23,123.28,788.1472827,2.973478261,5.36,2.999,0.085702906,11.88118176,28.35286132,0,7.429606279,475009,0.083845159,0.008,0.396115082,3.546271098,-59.62437957,5.878040779,33.70125949,11831,0.394158566,0.012,0.849189173,1.354354099,-0.096186366,2.114252946,2.800550939,6007,0.45911986,0.043,0.95292426,4.004378162,-0.078112225,1.909439378,1.716922734,-11753399.93,4919111.837,140,7054,10,165,8,0,73,2497,5
